api_uri,congress,dw_nominate,gender,id,name,party,seniority
https://api.propublica.org/congress/v1/members/H001061.json,115,0.341,M,H001061,John Hoeven,R,7
https://api.propublica.org/congress/v1/members/H001079.json,115,0.41,F,H001079,Cindy Hyde-Smith,R,1
https://api.propublica.org/congress/v1/members/I000024.json,115,0.552,M,I000024,James Inhofe,R,25
https://api.propublica.org/congress/v1/members/I000055.json,115,0.403,M,I000055,Johnny Isakson,R,13
https://api.propublica.org/congress/v1/members/J000293.json,115,0.602,M,J000293,Ron Johnson,R,7
https://api.propublica.org/congress/v1/members/J000300.json,115,-0.113,M,J000300,Doug Jones,D,1
https://api.propublica.org/congress/v1/members/K000384.json,115,-0.235,M,K000384,Tim Kaine,D,5
https://api.propublica.org/congress/v1/members/K000393.json,115,0.482,M,K000393,John Kennedy,R,1
https://api.propublica.org/congress/v1/members/K000383.json,115,-0.152,M,K000383,Angus King,I,5
https://api.propublica.org/congress/v1/members/K000367.json,115,-0.247,F,K000367,Amy Klobuchar,D,11
https://api.propublica.org/congress/v1/members/K000352.json,115,,M,K000352,Jon Kyl,R,1
https://api.propublica.org/congress/v1/members/L000575.json,115,0.574,M,L000575,James Lankford,R,3
https://api.propublica.org/congress/v1/members/L000174.json,115,-0.37,M,L000174,Patrick Leahy,D,43
https://api.propublica.org/congress/v1/members/L000577.json,115,0.919,M,L000577,Mike Lee,R,7
https://api.propublica.org/congress/v1/members/M001183.json,115,-0.058,M,M001183,Joe Manchin,D,9
https://api.propublica.org/congress/v1/members/M000133.json,115,-0.504,M,M000133,Edward Markey,D,5
